#

J003653.5+444321, POINT   , Patch, 00:36:53.5680, +44.43.21.612,    5.3044, 0, 0, 0,     ,     ,      , , [-0.73]
J001558.0+503829, POINT   , Patch, 00:15:58.0512, +50.38.29.796,    5.1291, 0, 0, 0,     ,     ,      , , [-0.73]
J010211.0+474854, GAUSSIAN, Patch, 01:02:11.0256, +47.48.54.900,    5.1812, 0, 0, 0, 33.0, 25.8, -13.10, , [-0.73]
J003828.3+503525, GAUSSIAN, Patch, 00:38:28.3824, +50.35.25.656,    6.6493, 0, 0, 0, 31.7, 30.0, -11.80, , [-0.73]
J005056.1+511203, GAUSSIAN, Patch, 00:50:56.1888, +51.12.03.636,   17.9951, 0, 0, 0, 37.5, 33.9, -80.70, , [-0.73]
J004308.7+520334, GAUSSIAN, Patch, 00:43:08.7312, +52.03.34.848,   53.7355, 0, 0, 0, 46.1, 32.0, -65.30, , [-0.73]
J010246.6+462436, GAUSSIAN, Patch, 01:02:46.6368, +46.24.36.576,    7.3831, 0, 0, 0, 44.9, 26.7, -56.90, , [-0.73]
J011759.4+453620, GAUSSIAN, Patch, 01:17:59.4792, +45.36.20.844,   10.6147, 0, 0, 0, 30.1, 26.2,  15.6, , [-0.73]
J011423.5+482352, POINT   , Patch, 01:14:23.5080, +48.23.52.728,    7.8065, 0, 0, 0,     ,     ,      , , [-0.73]
J020302.1+481833, POINT   , Patch, 02:03:02.1792, +48.18.33.408,    5.5004, 0, 0, 0,     ,     ,      , , [-0.73]
J000020.3+553910, GAUSSIAN, Patch, 00:00:20.3856, +55.39.10.404,    9.1388, 0, 0, 0, 33.8, 27.0,  3.50, , [-0.73]
J003921.4+555356, GAUSSIAN, Patch, 00:39:21.4056, +55.53.56.580,    5.1466, 0, 0, 0, 41.6, 29.6, -50.10, , [-0.73]
J005337.2+525529, GAUSSIAN, Patch, 00:53:37.2192, +52.55.29.640,    5.0136, 0, 0, 0, 32.0, 31.1,  30.1, , [-0.73]
J001552.3+583716, POINT   , Patch, 00:15:52.3440, +58.37.16.716,    6.3993, 0, 0, 0,     ,     ,      , , [-0.73]
J003607.6+585550, GAUSSIAN, Patch, 00:36:07.6992, +58.55.50.880,   31.8841, 0, 0, 0, 52.3, 34.8,  30.5, , [-0.73]
J001448.6+611745, POINT   , Patch, 00:14:48.6480, +61.17.45.492,   11.0945, 0, 0, 0,     ,     ,      , , [-0.73]
J003724.3+602951, GAUSSIAN, Patch, 00:37:24.3408, +60.29.51.972,   16.7795, 0, 0, 0, 64.7, 26.0, -4.10, , [-0.73]
J011113.0+572853, GAUSSIAN, Patch, 01:11:13.0200, +57.28.53.616,    6.1562, 0, 0, 0, 28.5, 27.4,  13.9, , [-0.73]
J012730.4+561511, GAUSSIAN, Patch, 01:27:30.4752, +56.15.11.268,    7.1629, 0, 0, 0, 33.1, 26.9,  47.7, , [-0.73]
J012538.8+574902, POINT   , Patch, 01:25:38.8152, +57.49.02.604,    6.6754, 0, 0, 0,     ,     ,      , , [-0.73]
J014829.0+533232, GAUSSIAN, Patch, 01:48:29.0568, +53.32.32.748,   17.4615, 0, 0, 0, 63.2, 33.7,  19.5, , [-0.73]
J015913.6+532911, GAUSSIAN, Patch, 01:59:13.6080, +53.29.11.220,    6.4019, 0, 0, 0, 29.3, 25.0,  17.8, , [-0.73]
J014202.6+581850, GAUSSIAN, Patch, 01:42:02.6400, +58.18.50.868,    7.1250, 0, 0, 0, 41.7, 25.8, -68.40, , [-0.73]
J022303.1+544849, GAUSSIAN, Patch, 02:23:03.1296, +54.48.49.824,    8.2692, 0, 0, 0, 39.1, 27.1,  74.7, , [-0.73]
J022732.2+523343, GAUSSIAN, Patch, 02:27:32.2680, +52.33.43.992,    5.9413, 0, 0, 0, 33.4, 26.6,  19.2, , [-0.73]
J015530.1+434554, GAUSSIAN, Patch, 01:55:30.1440, +43.45.54.432,   11.5423, 0, 0, 0, 56.5, 29.0,  25.4, , [-0.73]
J020038.8+442716, POINT   , Patch, 02:00:38.8272, +44.27.16.092,    5.5616, 0, 0, 0,     ,     ,      , , [-0.73]
J022148.6+395528, GAUSSIAN, Patch, 02:21:48.6024, +39.55.28.596,    7.2205, 0, 0, 0, 91.2, 27.7, -37.00, , [-0.73]
J022343.1+400052, GAUSSIAN, Patch, 02:23:43.1304, +40.00.52.740,   19.3663, 0, 0, 0, 31.7, 27.2, -78.10, , [-0.73]
J023148.9+393302, GAUSSIAN, Patch, 02:31:48.9936, +39.33.02.196,    7.6751, 0, 0, 0, 32.4, 25.8,  47.8, , [-0.73]
J022239.2+430211, GAUSSIAN, Patch, 02:22:39.2928, +43.02.11.976,    9.0458, 0, 0, 0, 35.7, 29.6, -33.50, , [-0.73]
J022315.8+425919, GAUSSIAN, Patch, 02:23:15.8952, +42.59.19.716,   20.2587, 0, 0, 0, 196.9, 99.7,  71.3, , [-0.73]
J024930.1+430521, GAUSSIAN, Patch, 02:49:30.1320, +43.05.21.984,   10.5835, 0, 0, 0, 136.7, 41.9,  46.3, , [-0.73]
J024432.6+393408, GAUSSIAN, Patch, 02:44:32.6592, +39.34.08.400,    6.4161, 0, 0, 0, 104.4, 29.7,  51.5, , [-0.73]
